Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_0_0,U_0_1,U_0_2,U_0_Magnitude,U_1,U_2,U_Magnitude,cellMotionU_0,cellMotionU_1,cellMotionU_2,cellMotionU_Magnitude,k,nut,omega,p,pointMotionU_0,pointMotionU_1,pointMotionU_2,pointMotionU_Magnitude,rAU,Block Number,Point ID
0,-0.188827,0.319292,0.370949,-1.85E-18,-1.85E-18,4.10E-16,2.89E-16,5.01E-16,4.10E-16,2.89E-16,5.01E-16,0,0,0,0,3.22E-06,0,6133.62,0.057552,0,0,0,0,0.0163467,5,40371
0,-0.188827,-0.319292,0.370949,4.18E-17,4.18E-17,-9.14E-17,2.17E-17,1.03E-16,-9.14E-17,2.17E-17,1.03E-16,0,0,0,0,3.22E-06,0,6133.62,0.0575518,0,0,0,0,0.0163467,5,13820
0,-0.371,1.51E-16,0.371,-2.50E-19,-2.50E-19,-7.58E-19,8.63E-18,8.67E-18,-7.58E-19,8.63E-18,8.67E-18,0,0,0,0,2.66E-06,0,7228.59,0.0575501,0,0,0,0,0.0140025,5,51
0,-0.370176,0.0232888,0.370908,4.34E-17,4.34E-17,-6.47E-18,-8.63E-17,9.68E-17,-6.47E-18,-8.63E-17,9.68E-17,0,0,0,0,2.84E-06,0,6833.01,0.0575461,0,0,0,0,0.0147624,5,27084
0,-0.30013,0.218057,0.370981,8.71E-17,8.71E-17,-3.34E-16,-4.42E-16,5.60E-16,-3.34E-16,-4.42E-16,5.60E-16,0,0,0,0,3.01E-06,0,6357.5,0.0575383,0,0,0,0,0.0158227,5,27120
0,-0.368006,0.0464883,0.370931,1.05E-18,1.05E-18,-2.90E-17,-1.98E-16,2.01E-16,-2.90E-17,-1.98E-16,2.01E-16,0,0,0,0,3.04E-06,0,6475.4,0.0575379,0,0,0,0,0.015518,5,27088
0,-0.37074,-0.0116498,0.370923,-3.60E-19,-3.60E-19,-1.40E-18,4.08E-17,4.08E-17,-1.40E-18,4.08E-17,4.08E-17,0,0,0,0,2.72E-06,0,7088.06,0.057519,0,0,0,0,0.0142681,5,49
0,-0.20847,0.306755,0.370889,-5.67E-19,-5.67E-19,3.16E-16,2.24E-16,3.88E-16,3.16E-16,2.24E-16,3.88E-16,0,0,0,0,3.08E-06,0,6263.94,0.0575119,0,0,0,0,0.0160375,5,40367
0,-0.306755,-0.20847,0.370889,-4.57E-17,-4.57E-17,5.56E-16,-8.02E-16,9.77E-16,5.56E-16,-8.02E-16,9.77E-16,0,0,0,0,3.08E-06,0,6263.63,0.0575109,0,0,0,0,0.0160351,5,13
0,-0.20847,-0.306755,0.370889,-8.73E-17,-8.73E-17,3.16E-16,-2.24E-16,3.97E-16,3.16E-16,-2.24E-16,3.97E-16,0,0,0,0,3.08E-06,0,6263.94,0.0575107,0,0,0,0,0.0160375,5,13816
0,-0.344948,0.136572,0.371,-8.48E-17,-8.48E-17,-5.77E-17,-1.54E-16,1.85E-16,-5.77E-17,-1.54E-16,1.85E-16,0,0,0,0,3.26E-06,0,6042.17,0.0575073,0,0,0,0,0.0165571,5,27104
0,-0.370176,-0.0232888,0.370908,-8.71E-17,-8.71E-17,-7.39E-18,1.05E-16,1.37E-16,-7.39E-18,1.05E-16,1.37E-16,0,0,0,0,2.83E-06,0,6833.01,0.057507,0,0,0,0,0.0147659,5,47
0,-0.313167,-0.19874,0.370906,-1.32E-16,-1.32E-16,4.79E-16,-7.69E-16,9.15E-16,4.79E-16,-7.69E-16,9.15E-16,0,0,0,0,3.12E-06,0,6190.16,0.0574902,0,0,0,0,0.0162085,5,15
0,-0.369321,-0.03491,0.370967,-1.73E-16,-1.73E-16,-2.55E-17,2.58E-16,3.12E-16,-2.55E-17,2.58E-16,3.12E-16,0,0,0,0,2.92E-06,0,6629.93,0.0574862,0,0,0,0,0.0151854,5,45
0,-0.19874,0.313167,0.370906,4.24E-17,4.24E-17,8.49E-16,5.21E-16,9.97E-16,8.49E-16,5.21E-16,9.97E-16,0,0,0,0,3.12E-06,0,6190.62,0.0574763,0,0,0,0,0.0162092,5,40369
0,-0.19874,-0.313167,0.370906,4.27E-17,4.27E-17,3.48E-16,-2.10E-16,4.09E-16,3.48E-16,-2.10E-16,4.09E-16,0,0,0,0,3.12E-06,0,6190.62,0.0574757,0,0,0,0,0.0162091,5,13818
0,-0.344948,-0.136572,0.371,-1.72E-16,-1.72E-16,-5.78E-17,1.54E-16,2.38E-16,-5.78E-17,1.54E-16,2.38E-16,0,0,0,0,3.26E-06,0,6042.17,0.0574744,0,0,0,0,0.0165589,5,27
0,-0.178672,-0.325006,0.370881,4.20E-17,4.20E-17,-5.92E-16,3.33E-16,6.81E-16,-5.92E-16,3.33E-16,6.81E-16,0,0,0,0,3.20E-06,0,6094.79,0.0574715,0,0,0,0,0.0164378,5,13822
0,-0.178672,0.325006,0.370881,-8.76E-17,-8.76E-17,-8.88E-17,-6.38E-17,1.40E-16,-8.88E-17,-6.38E-17,1.40E-16,0,0,0,0,3.20E-06,0,6096.25,0.0574712,0,0,0,0,0.0164346,5,40373
