V_t,V_p
22.47,0.9999999
21.87,0.9999999
18.47,0.9999999
20.2,0.9999999
6.97,0.9999999
19.91,0.9999999
20.41,0.9999999
15.46,0.9999999
15.25,0.9999999
22.26,0.9999999
19.88,0.9999999
17.54,0.9999999
19.85,0.9999999
19.82,0.9999999
11.82,0.99999994
7.96,0.9999999
17.03,0.9999999
11.68,0.99999994
