train_loss,valid_loss
1.1611067,1.2086737
1.1514279,1.1893615
1.141521,1.1659192
1.1302415,1.1349838
1.1168164,1.0955648
1.1012102,1.0539939
1.084598,1.0197289
1.0684001,0.9945313
1.0533521,0.97625333
1.0397203,0.9634158
1.0275737,0.9547857
1.0168421,0.9488549
1.0073627,0.9444227
0.99894917,0.94077885
0.9914317,0.9377204
0.9846776,0.935221
0.97858185,0.93317324
0.973057,0.93144673
0.9680277,0.9299798
0.9634326,0.92874026
