train_loss,valid_loss
1.1786135,1.2905989
1.1690118,1.2718998
1.1597462,1.2540653
1.1507403,1.2366987
1.1418848,1.2193093
1.1330785,1.2017512
1.1242554,1.1838583
1.1153768,1.1658413
1.1064513,1.1480212
1.0975143,1.1306933
1.0886186,1.1142142
1.0798274,1.0988537
1.0712031,1.0848056
1.0628043,1.072187
1.054681,1.0610516
1.0468735,1.0513766
1.0394108,1.0430815
1.0323119,1.0360519
1.0255854,1.030147
1.0192317,1.0252169
1.0132436,1.0211171
1.0076088,1.0177082
1.0023118,1.014872
0.9973343,1.0125036
0.992657,1.0105165
0.98826015,1.008841
0.9841243,1.0074179
0.9802307,1.0062028
0.97656184,1.0051574
0.973101,1.0042508
0.9698329,1.0034598
0.9667429,1.0027643
0.963818,1.002149
0.9610463,1.0016007
0.9584166,1.0011103
0.9559187,1.0006685
0.9535435,1.0002676
0.9512822,0.9999013
0.9491272,0.9995636
0.9470714,0.99925005
0.94510794,0.9989572
0.943231,0.998681
0.941435,0.9984185
0.9397148,0.99816704
0.9380656,0.9979239
0.936483,0.9976863
0.93496317,0.99745244
0.9335022,0.99721986
0.9320966,0.99698526
0.9307431,0.99674624
0.9294387,0.99649996
0.9281806,0.99624366
0.92696595,0.99597347
0.92579234,0.9956849
0.92465734,0.995373
0.9235587,0.99503195
0.9224941,0.99465394
0.92146164,0.99423
0.9204591,0.9937506
0.9194844,0.9932051
0.9185355,0.9925809
0.9176104,0.9918642
0.9167073,0.9910434
0.91582394,0.9901131
0.9149588,0.9890767
0.91411,0.9879521
0.9132765,0.9867722
0.9124571,0.98557913
0.91165155,0.98441684
0.9108592,0.9833171
0.9100799,0.9823012
0.90931356,0.9813728
0.90855974,0.9805221
0.9078181,0.97973394
0.9070885,0.978997
0.90637064,0.978302
0.9056642,0.977638
0.9049693,0.9769987
0.9042854,0.9763821
0.9036124,0.9757872
0.90295017,0.97521335
0.9022985,0.974661
0.90165716,0.97412825
0.90102595,0.9736155
0.9004049,0.9731243
0.8997936,0.9726544
0.8991921,0.97220397
0.8986001,0.9717713
0.8980174,0.9713575
0.89744383,0.97096026
0.8968794,0.97057825
0.89632374,0.9702114
0.89577687,0.9698592
0.89523846,0.96952003
0.8947085,0.9691939
0.8941868,0.96888
0.8936731,0.9685787
0.89316744,0.9682903
0.8926695,0.9680138
0.8921793,0.96774775
0.8916966,0.96749187
0.8912212,0.9672468
0.89075315,0.96701086
0.89029217,0.96678376
0.88983816,0.9665647
0.889391,0.9663538
0.88895047,0.96615064
0.88851655,0.9659547
0.88808906,0.96576583
0.8876679,0.96558344
0.8872528,0.96540713
0.88684386,0.9652365
0.8864409,0.9650719
0.88604367,0.9649131
0.88565224,0.9647593
0.8852663,0.96460986
0.884886,0.96446466
0.88451093,0.96432334
0.8841413,0.9641864
0.88377684,0.96405375
0.8834174,0.9639249
0.883063,0.9638
0.88271344,0.9636787
0.88236874,0.96356076
0.8820287,0.963446
0.8816933,0.9633343
0.88136244,0.96322596
0.8810361,0.9631202
0.880714,0.96301705
0.88039625,0.96291685
0.88008267,0.9628195
0.8797733,0.9627251
0.87946796,0.962633
0.87916654,0.9625433
0.8788689,0.96245575
0.8785752,0.96237016
0.8782852,0.96228665
0.87799907,0.96220505
0.8777165,0.9621255
0.8774373,0.9620475
0.8771617,0.9619715
0.8768895,0.96189773
0.8766207,0.961826
0.8763552,0.961756
0.8760929,0.96168756
0.87583387,0.9616206
0.875578,0.9615548
0.87532496,0.9614906
0.8750752,0.9614277
0.8748283,0.9613662
0.8745844,0.961306
0.8743434,0.96124756
0.87410516,0.96119034
0.87386966,0.9611345
0.8736369,0.96107966
0.8734068,0.96102613
0.8731794,0.9609734
0.8729545,0.9609215
0.8727323,0.9608708
0.8725125,0.9608214
0.8722952,0.96077293
0.87208027,0.96072537
0.87186784,0.96067876
0.8716576,0.96063286
0.87144977,0.96058774
0.87124413,0.9605435
0.87104076,0.9605002
0.87083966,0.9604578
0.87064064,0.96041656
0.87044376,0.9603761
0.870249,0.96033615
0.8700563,0.96029705
0.86986566,0.9602586
0.86967695,0.96022075
0.8694902,0.9601834
0.8693055,0.9601469
0.8691226,0.96011084
0.8689416,0.9600758
0.86876255,0.96004146
0.8685852,0.9600076
0.8684097,0.9599744
0.86823595,0.9599417
0.868064,0.9599097
0.86789364,0.95987797
0.86772513,0.9598468
0.86755824,0.9598161
0.86739296,0.95978594
0.86722934,0.95975626
0.8670672,0.95972717
0.86690676,0.9596987
0.8667478,0.9596705
0.86659044,0.9596426
0.8664345,0.95961505
0.86628014,0.9595879
0.8661272,0.9595612
0.8659756,0.95953494
0.8658256,0.9595089
0.86567694,0.9594834
0.86552954,0.9594583
0.8653837,0.95943344
0.865239,0.95940894
0.8650958,0.95938486
0.8649539,0.95936096
0.86481315,0.95933753
0.8646738,0.9593143
0.8645356,0.95929116
0.8643988,0.95926833
0.8642631,0.959246
0.8641286,0.95922405
0.8639953,0.9592023
0.8638632,0.9591809
0.8637323,0.9591597
0.8636024,0.9591387
0.8634738,0.95911795
0.8633462,0.9590973
0.86321974,0.95907706
0.8630944,0.9590569
0.86297005,0.9590369
0.86284673,0.95901716
0.8627245,0.9589978
0.8626034,0.9589786
0.8624832,0.95895964
0.86236405,0.9589409
0.86224586,0.9589221
0.8621286,0.9589034
0.86201245,0.95888495
0.8618971,0.9588667
0.8617828,0.9588486
0.86166936,0.9588307
0.8615569,0.958813
0.8614453,0.95879525
0.8613346,0.9587779
0.86122483,0.9587606
0.86111593,0.9587434
0.8610078,0.95872617
0.86090064,0.958709
0.8607942,0.958692
0.8606886,0.9586749
0.86058396,0.95865804
0.86048007,0.95864105
0.860377,0.9586243
0.8602747,0.9586075
0.8601731,0.9585906
0.8600724,0.9585739
0.8599724,0.95855695
0.8598731,0.95854014
0.8597747,0.95852315
0.8596769,0.95850605
0.8595799,0.95848876
0.8594836,0.95847136
0.85938805,0.95845366
0.85929304,0.9584356
0.859199,0.95841736
