train_loss,valid_loss
1.1834805,1.2951118
1.173248,1.2758148
1.1634922,1.2577143
1.1540886,1.2402576
1.1449099,1.2229891
1.1358498,1.2054994
1.1268059,1.1876565
1.117728,1.1696632
1.1086187,1.1518352
1.0995139,1.1345584
1.090474,1.1182151
1.0815713,1.1031203
1.0728772,1.0894585
1.0644537,1.077301
1.05635,1.0666426
1.0486008,1.0573963
1.0412269,1.04944
1.0342367,1.0426253
1.0276291,1.0368042
1.0213957,1.0318398
1.0155231,1.0276076
1.0099947,1.0239954
1.0047922,1.0209079
0.99989635,1.0182627
0.99528766,1.0159909
0.99094695,1.0140339
0.98685616,1.0123425
0.9829976,1.0108749
0.97935474,1.0095965
0.9759124,1.008479
0.9726561,1.0074974
0.96957266,1.0066322
0.96664983,1.0058658
0.96387637,1.0051845
0.9612416,1.0045761
0.9587366,1.0040311
0.95635176,1.0035402
0.95407957,1.0030972
0.9519123,1.0026957
0.9498433,1.0023305
0.947866,1.0019969
0.9459749,1.0016915
0.94416445,1.0014107
0.94242984,1.0011518
0.94076645,1.0009123
0.93917,1.0006901
0.9376366,1.0004833
0.9361628,1.0002904
0.9347451,1.0001099
0.93338025,0.9999409
0.93206567,0.9997817
0.9307984,0.99963164
0.9295761,0.99949
0.9283964,0.99935573
0.92725694,0.9992286
0.926156,0.9991074
0.92509145,0.9989921
0.92406154,0.9988821
0.92306465,0.9987768
0.9220992,0.99867576
0.9211636,0.9985789
0.92025656,0.99848574
0.9193769,0.99839574
0.9185233,0.9983089
0.91769457,0.9982248
0.9168896,0.9981436
0.91610754,0.9980645
0.9153473,0.99798787
0.9146078,0.997913
0.91388845,0.99784017
0.9131884,0.99776876
0.91250676,0.9976987
0.91184276,0.9976298
0.9111958,0.9975618
0.9105652,0.997495
0.90995026,0.99742854
0.90935045,0.99736226
0.90876514,0.9972963
0.90819395,0.99722993
0.90763617,0.9971629
0.9070914,0.99709475
0.90655905,0.99702525
0.9060388,0.9969534
0.90553,0.99687874
0.90503246,0.9967998
0.90454555,0.9967157
0.90406895,0.9966243
0.90360224,0.99652326
0.903145,0.9964086
0.90269685,0.9962751
0.90225714,0.9961149
0.9018255,0.9959151
0.90140116,0.9956552
0.90098345,0.99530125
0.9005711,0.9947907
0.9001625,0.9940105
0.8997549,0.99275863
0.8993436,0.9907352
0.89892274,0.9878073
0.8984883,0.9847713
0.898046,0.98291093
0.89760417,0.98179793
0.8971623,0.980737
0.89671874,0.9798553
0.896275,0.97908455
0.8958324,0.9782461
0.8953913,0.9773906
0.8949522,0.97662526
0.8945157,0.97595793
0.894082,0.97536993
0.8936515,0.9748373
0.89322436,0.9743361
0.8928008,0.9738571
0.8923811,0.97340286
0.8919652,0.97297776
0.89155334,0.9725819
0.8911455,0.9722128
0.8907419,0.9718647
0.8903423,0.97153515
0.889947,0.97122157
0.88955593,0.97092223
0.889169,0.97063786
0.8887864,0.97036827
0.88840795,0.9701122
0.8880338,0.96986836
0.8876637,0.96963614
0.887298,0.96941453
0.88693637,0.96920305
0.8865787,0.96900094
0.8862254,0.96880823
0.885876,0.9686242
0.8855306,0.9684491
0.8851893,0.96828187
0.884852,0.9681216
0.88451856,0.96796733
0.884189,0.96781987
0.8838633,0.96767825
0.8835414,0.96754247
0.8832232,0.9674119
0.8829087,0.96728635
0.8825978,0.9671659
0.8822906,0.9670499
0.881987,0.96693814
0.88168675,0.96683043
0.8813901,0.96672654
0.88109684,0.9666265
0.88080686,0.96652967
0.8805202,0.96643627
0.8802369,0.9663462
0.8799568,0.966259
0.8796799,0.9661747
0.8794061,0.9660931
0.8791354,0.96601427
0.87886775,0.9659375
0.87860304,0.9658633
0.8783414,0.9657911
0.8780826,0.9657211
0.87782663,0.9656531
0.87757355,0.96558714
0.8773233,0.9655232
0.8770757,0.96546096
0.8768309,0.96540016
0.8765887,0.9653411
0.8763491,0.9652838
0.8761121,0.9652277
0.87587774,0.96517324
0.87564576,0.96511996
0.8754163,0.9650682
0.87518924,0.96501774
0.87496465,0.9649685
0.87474245,0.9649205
0.8745225,0.9648736
0.87430483,0.9648278
0.87408936,0.96478295
0.8738763,0.9647391
0.87366533,0.96469617
0.87345654,0.9646543
0.8732499,0.96461344
0.8730454,0.9645734
0.8728429,0.9645343
0.87264234,0.96449596
0.872444,0.96445847
0.87224746,0.96442187
0.8720531,0.9643859
0.8718605,0.96435064
0.87166977,0.9643162
0.871481,0.9642823
0.871294,0.96424925
0.8711089,0.9642167
0.8709255,0.9641848
0.8707439,0.9641535
0.8705641,0.9641227
0.870386,0.9640925
0.8702096,0.96406275
0.8700348,0.96403354
0.8698617,0.9640048
0.86969024,0.96397656
0.8695204,0.96394885
0.86935204,0.9639214
0.8691854,0.9638946
0.8690202,0.96386826
0.8688565,0.9638422
0.8686943,0.9638166
0.8685336,0.9637912
0.86837447,0.9637663
0.8682167,0.96374166
0.8680603,0.9637173
0.8679053,0.9636933
0.8677517,0.96366954
0.8675995,0.9636462
0.8674486,0.96362305
0.8672991,0.96360016
0.86715084,0.96357745
0.8670038,0.96355504
0.8668582,0.96353275
0.8667138,0.9635106
0.86657065,0.96348876
0.86642873,0.9634669
0.86628795,0.96344525
0.8661485,0.9634235
0.8660101,0.9634019
0.8658729,0.9633803
0.86573696,0.96335864
0.865602,0.96333677
0.8654682,0.9633148
0.8653356,0.9632927
0.865204,0.9632703
0.86507356,0.96324736
0.8649441,0.9632241
0.8648157,0.9632
0.8646884,0.96317494
0.86456203,0.96314883
0.86443675,0.9631214
0.86431235,0.9630922
0.864189,0.9630607
0.86406666,0.96302634
0.8639452,0.962988
0.8638246,0.9629446
0.863705,0.9628942
0.86358625,0.9628338
0.8634682,0.96275914
0.86335105,0.9626632
0.86323476,0.9625341
0.86311895,0.9623511
0.86300373,0.9620736
0.86288875,0.9616214
0.8627734,0.9608194
0.86265683,0.9592843
0.8625365,0.9563033
0.8624084,0.9514346
0.86226976,0.94623953
0.86212313,0.9427107
0.86197126,0.94057727
0.8618153,0.93919545
0.86165625,0.93846303
0.8614956,0.93794304
0.86133355,0.9372936
