loss,mse,val_loss,val_mse
236.68055725097656,236.68055725097656,243.8391876220703,243.8391876220703
236.6752166748047,236.6752166748047,243.8391876220703,243.8391876220703
235.8052215576172,235.8052215576172,243.8391876220703,243.8391876220703
233.506103515625,233.506103515625,243.8391876220703,243.8391876220703
231.66448974609375,231.66448974609375,243.8373565673828,243.8373565673828
230.32455444335938,230.32455444335938,243.53643798828125,243.53643798828125
229.0494842529297,229.0494842529297,227.43414306640625,227.43414306640625
224.27880859375,224.27880859375,217.16677856445312,217.16677856445312
222.85922241210938,222.85922241210938,217.0334014892578,217.0334014892578
219.2313995361328,219.2313995361328,217.0327606201172,217.0327606201172
218.35910034179688,218.35910034179688,217.0327606201172,217.0327606201172
217.63002014160156,217.63002014160156,217.0327606201172,217.0327606201172
217.1705322265625,217.1705322265625,217.0327606201172,217.0327606201172
215.6590118408203,215.6590118408203,217.0327606201172,217.0327606201172
214.75576782226562,214.75576782226562,217.0327606201172,217.0327606201172
213.5325927734375,213.5325927734375,217.0327606201172,217.0327606201172
213.89871215820312,213.89871215820312,217.0327606201172,217.0327606201172
213.1913299560547,213.1913299560547,217.0327606201172,217.0327606201172
212.9170684814453,212.9170684814453,217.0327606201172,217.0327606201172
213.50238037109375,213.50238037109375,217.0327606201172,217.0327606201172
213.5344696044922,213.5344696044922,217.0327606201172,217.0327606201172
213.07717895507812,213.07717895507812,217.0327606201172,217.0327606201172
212.8922576904297,212.8922576904297,217.0327606201172,217.0327606201172
212.88824462890625,212.88824462890625,217.0327606201172,217.0327606201172
212.86915588378906,212.86915588378906,217.0327606201172,217.0327606201172
212.7435302734375,212.7435302734375,217.0327606201172,217.0327606201172
212.69931030273438,212.69931030273438,217.0327606201172,217.0327606201172
212.57196044921875,212.57196044921875,217.0327606201172,217.0327606201172
212.78073120117188,212.78073120117188,217.0327606201172,217.0327606201172
212.4349822998047,212.4349822998047,217.0327606201172,217.0327606201172
212.47650146484375,212.47650146484375,217.0327606201172,217.0327606201172
212.50730895996094,212.50730895996094,217.0327606201172,217.0327606201172
212.55291748046875,212.55291748046875,217.0327606201172,217.0327606201172
212.34043884277344,212.34043884277344,217.0327606201172,217.0327606201172
212.55502319335938,212.55502319335938,217.0327606201172,217.0327606201172
212.52894592285156,212.52894592285156,217.0327606201172,217.0327606201172
212.4371795654297,212.4371795654297,217.0327606201172,217.0327606201172
212.43614196777344,212.43614196777344,217.0327606201172,217.0327606201172
212.38475036621094,212.38475036621094,217.0327606201172,217.0327606201172
212.3704833984375,212.3704833984375,217.0327606201172,217.0327606201172
212.3436279296875,212.3436279296875,217.0327606201172,217.0327606201172
212.3721160888672,212.3721160888672,217.0327606201172,217.0327606201172
212.4406280517578,212.4406280517578,217.0327606201172,217.0327606201172
212.47805786132812,212.47805786132812,217.0327606201172,217.0327606201172
212.41525268554688,212.41525268554688,217.0327606201172,217.0327606201172
212.38694763183594,212.38694763183594,217.0327606201172,217.0327606201172
212.49130249023438,212.49130249023438,217.0327606201172,217.0327606201172
212.4221649169922,212.4221649169922,217.0327606201172,217.0327606201172
212.32420349121094,212.32420349121094,217.0327606201172,217.0327606201172
212.31973266601562,212.31973266601562,217.0327606201172,217.0327606201172
212.36460876464844,212.36460876464844,217.0327606201172,217.0327606201172
212.40823364257812,212.40823364257812,217.0327606201172,217.0327606201172
212.308837890625,212.308837890625,217.0327606201172,217.0327606201172
212.3028564453125,212.3028564453125,217.0327606201172,217.0327606201172
212.35923767089844,212.35923767089844,217.0327606201172,217.0327606201172
212.42108154296875,212.42108154296875,217.0327606201172,217.0327606201172
212.33033752441406,212.33033752441406,217.0327606201172,217.0327606201172
212.37496948242188,212.37496948242188,217.0327606201172,217.0327606201172
212.303466796875,212.303466796875,217.0327606201172,217.0327606201172
212.33920288085938,212.33920288085938,217.0327606201172,217.0327606201172
212.36341857910156,212.36341857910156,217.0327606201172,217.0327606201172
212.45013427734375,212.45013427734375,217.0327606201172,217.0327606201172
212.3889923095703,212.3889923095703,217.0327606201172,217.0327606201172
212.4388427734375,212.4388427734375,217.0327606201172,217.0327606201172
212.32931518554688,212.32931518554688,217.0327606201172,217.0327606201172
212.44448852539062,212.44448852539062,217.0327606201172,217.0327606201172
212.38914489746094,212.38914489746094,217.0327606201172,217.0327606201172
212.29840087890625,212.29840087890625,217.0327606201172,217.0327606201172
212.34445190429688,212.34445190429688,217.0327606201172,217.0327606201172
212.365966796875,212.365966796875,217.0327606201172,217.0327606201172
212.30271911621094,212.30271911621094,217.0327606201172,217.0327606201172
212.28887939453125,212.28887939453125,217.0327606201172,217.0327606201172
212.4663543701172,212.4663543701172,217.0327606201172,217.0327606201172
212.3733673095703,212.3733673095703,217.0327606201172,217.0327606201172
212.3724822998047,212.3724822998047,217.0327606201172,217.0327606201172
212.36558532714844,212.36558532714844,217.0327606201172,217.0327606201172
212.400390625,212.400390625,217.0327606201172,217.0327606201172
212.34564208984375,212.34564208984375,217.0327606201172,217.0327606201172
212.33029174804688,212.33029174804688,217.0327606201172,217.0327606201172
212.3935089111328,212.3935089111328,217.0327606201172,217.0327606201172
212.43955993652344,212.43955993652344,217.0327606201172,217.0327606201172
212.39608764648438,212.39608764648438,217.0327606201172,217.0327606201172
212.34710693359375,212.34710693359375,217.0327606201172,217.0327606201172
212.41259765625,212.41259765625,217.0327606201172,217.0327606201172
212.3571319580078,212.3571319580078,217.0327606201172,217.0327606201172
212.50204467773438,212.50204467773438,217.0327606201172,217.0327606201172
212.3866424560547,212.3866424560547,217.0327606201172,217.0327606201172
212.43386840820312,212.43386840820312,217.0327606201172,217.0327606201172
212.32879638671875,212.32879638671875,217.0327606201172,217.0327606201172
212.30197143554688,212.30197143554688,217.0327606201172,217.0327606201172
212.4134063720703,212.4134063720703,217.0327606201172,217.0327606201172
212.3125762939453,212.3125762939453,217.0327606201172,217.0327606201172
212.46868896484375,212.46868896484375,217.0327606201172,217.0327606201172
212.3928680419922,212.3928680419922,217.0327606201172,217.0327606201172
212.40684509277344,212.40684509277344,217.0327606201172,217.0327606201172
212.38967895507812,212.38967895507812,217.0327606201172,217.0327606201172
212.3350067138672,212.3350067138672,217.0327606201172,217.0327606201172
