train_loss,valid_loss
1.2399375,1.2392149
1.2279167,1.2153131
1.216123,1.1915512
1.2041386,1.1660103
1.1917549,1.1391983
1.1790159,1.1118907
1.166051,1.084834
1.1530101,1.0586314
1.1400342,1.0336978
1.1272417,1.0102954
1.1147271,0.9885753
1.1025634,0.9686034
1.0908036,0.95037663
1.079484,0.93384176
1.068626,0.9189027
1.058239,0.9054328
1.0483224,0.8932981
1.0388684,0.88236725
1.029864,0.8725184
1.0212929,0.86363727
1.0131369,0.8556215
1.0053763,0.84837663
0.9979915,0.8418171
0.99096185,0.8358646
0.984268,0.8304508
0.97789013,0.825508
0.9718098,0.8209763
0.96600884,0.81680065
0.9604701,0.812942
0.9551775,0.8093666
0.9501159,0.8060511
0.9452715,0.8029698
0.9406312,0.8000968
0.9361828,0.7974088
0.9319146,0.79488665
0.927816,0.792509
0.9238767,0.7902568
0.92008704,0.7881133
0.9164381,0.7860602
0.91292113,0.7840781
0.90952814,0.7821422
0.90625054,0.78021485
0.9030806,0.7782556
0.90001035,0.7762774
0.8970335,0.7743333
0.8941453,0.772457
0.8913413,0.7706627
0.88861805,0.76895064
0.88597214,0.7673101
0.88339996,0.7657269
0.8808982,0.7641865
0.8784632,0.7626761
0.87609184,0.76118433
0.87378055,0.7597042
0.87152624,0.7582277
0.86932594,0.7567483
0.86717665,0.7552682
0.8650759,0.7537877
0.8630212,0.7523079
0.8610104,0.7508331
0.85904145,0.74935585
0.85711217,0.74787414
0.85522074,0.7463805
0.8533652,0.7448745
0.8515437,0.7433549
0.8497546,0.7418195
0.84799594,0.74026996
0.8462663,0.7387044
0.84456426,0.73712415
0.84288836,0.73553
0.8412373,0.73392934
0.8396099,0.7323221
0.8380053,0.7307107
0.8364222,0.72910327
0.8348601,0.72750515
0.8333182,0.72592074
0.8317958,0.7243566
0.83029264,0.7228149
0.82880795,0.7212973
0.8273417,0.7198063
0.8258933,0.7183342
0.82446235,0.71687686
0.8230484,0.7154355
0.8216513,0.7140301
0.82027096,0.7126949
0.8189076,0.7114481
0.81756186,0.7102882
0.81623405,0.709205
0.81492424,0.70818913
0.8136327,0.707233
0.8123594,0.7063291
0.8111043,0.7054701
0.80986714,0.7046514
0.808648,0.7038689
0.8074464,0.70311975
0.80626243,0.70240176
0.8050956,0.7017121
0.8039459,0.70104766
0.8028128,0.7004078
0.80169624,0.6997905
0.8005959,0.69919485
0.7995115,0.698619
0.79844266,0.6980625
0.79738927,0.6975241
0.79635084,0.69700265
0.79532737,0.6964969
0.79431844,0.69600695
0.7933238,0.6955319
0.79234326,0.69507074
0.7913764,0.6946231
0.79042315,0.69418794
0.7894831,0.6937642
0.78855604,0.6933524
0.78764176,0.6929511
0.78674006,0.69256
0.7858506,0.6921792
0.78497326,0.6918082
0.78410774,0.6914462
0.7832538,0.6910927
0.7824113,0.6907482
0.7815799,0.69041204
0.7807595,0.6900835
0.7799499,0.68976295
0.7791508,0.6894503
0.77836204,0.6891446
0.77758354,0.688846
0.776815,0.6885539
0.7760562,0.6882681
0.77530706,0.68798816
0.77456737,0.6877143
0.773837,0.6874463
0.7731157,0.687184
0.77240324,0.68692666
0.7716996,0.68667483
0.7710047,0.6864279
0.7703181,0.68618613
0.7696399,0.6859491
0.7689698,0.6857165
0.7683078,0.68548846
0.76765364,0.6852644
0.7670072,0.6850444
0.7663684,0.6848284
0.765737,0.68461615
0.765113,0.6844073
0.76449615,0.68420196
0.76388645,0.6839998
0.76328367,0.6838007
0.7626877,0.68360484
0.7620985,0.6834116
0.7615159,0.6832209
0.7609397,0.68303245
0.76036996,0.6828466
0.7598065,0.6826626
0.75924915,0.6824801
0.7586978,0.68229985
0.7581525,0.68212193
0.75761294,0.6819469
0.7570792,0.6817748
0.7565511,0.6816052
0.75602853,0.6814384
0.75551146,0.6812743
0.7549998,0.6811127
0.7544935,0.6809538
0.7539924,0.6807973
0.7534964,0.6806433
0.7530055,0.68049175
0.75251967,0.6803425
0.75203866,0.6801955
0.75156254,0.68005073
0.7510913,0.67990834
0.75062466,0.6797679
0.7501626,0.6796293
0.74970514,0.6794927
0.74925214,0.679358
0.74880373,0.679225
0.7483595,0.679094
0.7479196,0.67896456
0.747484,0.6788368
0.7470525,0.67871064
0.74662507,0.6785862
0.7462018,0.6784633
0.74578255,0.67834187
0.74536717,0.6782218
0.74495566,0.67810345
0.744548,0.67798615
0.7441441,0.67787033
0.7437439,0.677756
0.74334735,0.67764324
0.7429545,0.67753166
0.7425651,0.6774213
0.74217933,0.67731196
0.741797,0.67720395
0.74141794,0.6770972
0.7410423,0.6769917
0.7406701,0.6768875
0.7403012,0.67678446
0.7399354,0.6766826
0.7395728,0.6765819
0.73921335,0.67648244
0.7388571,0.6763837
