train_loss,valid_loss
1.1669419,1.2779468
1.1559792,1.2566963
1.1452466,1.2359954
1.1346723,1.2155838
1.1241912,1.1953342
1.1137797,1.1752769
1.1034356,1.1556222
1.0931957,1.136745
1.0831198,1.1189362
1.0732757,1.1025383
1.0637376,1.0878038
1.0545726,1.0748338
1.0458323,1.0636123
1.0375497,1.0540291
1.0297403,1.0459048
1.0224059,1.0390524
1.0155355,1.0332919
1.0091119,1.028454
1.003112,1.0243886
0.99751014,1.0209658
0.99227977,1.018076
0.9873938,1.0156283
0.9828264,1.0135461
0.97855276,1.0117681
0.97454965,1.0102429
0.97079545,1.0089282
0.96727026,1.0077897
0.9639556,1.0067985
0.9608349,1.0059315
0.9578931,1.0051695
0.9551159,1.0044961
0.9524911,1.0038985
0.9500067,1.0033655
0.94765246,1.0028884
0.9454187,1.0024588
0.9432969,1.0020709
0.9412789,1.0017189
0.93935764,1.0013982
0.93752646,1.0011046
0.9357791,1.0008351
0.93411034,1.0005867
0.9325149,1.0003573
0.93098813,1.0001445
0.92952573,0.9999463
0.9281238,0.9997613
0.9267785,0.9995879
0.92548686,0.99942476
0.9242453,0.9992713
0.9230513,0.99912626
0.921902,0.9989886
0.92079496,0.99885786
0.9197279,0.99873334
0.91869867,0.99861413
0.91770536,0.99850017
0.916746,0.9983905
0.91581887,0.998285
0.9149225,0.9981831
0.91405493,0.9980843
0.9132152,0.99798834
0.91240185,0.9978946
0.9116136,0.99780273
0.9108493,0.9977125
0.9101078,0.9976237
0.9093882,0.99753535
0.9086893,0.997447
0.90801024,0.9973584
0.9073502,0.99726844
0.90670824,0.99717677
0.9060835,0.99708194
0.90547544,0.9969829
0.90488327,0.9968779
0.90430605,0.99676454
0.9037432,0.9966401
0.9031941,0.9964998
0.90265787,0.99633783
0.9021338,0.9961446
0.90162116,0.9959055
0.9011188,0.9955981
0.90062565,0.9951851
0.90014005,0.9946023
0.89965993,0.99374217
0.8991818,0.9924366
0.89870083,0.99048966
0.89821154,0.9879021
0.89771134,0.98526365
0.8972049,0.98337686
0.8966991,0.98212737
0.89619493,0.9810503
0.8956911,0.98008895
0.8951884,0.9792441
0.89468795,0.9784301
0.8941905,0.9776126
0.8936965,0.9768307
0.89320624,0.9761145
0.8927202,0.97546566
0.8922386,0.97487724
0.8917618,0.97433674
0.8912898,0.9738311
0.89082277,0.97334933
0.890361,0.97288966
0.88990444,0.97245187
